scorer,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,766.803955078125,145.00161743164062,0.9555559754371643,786.0562133789062,215.10475158691406,0.9936662316322327,797.240234375,188.51036071777344,0.9997913241386414,818.7117309570312,183.57676696777344,0.9991357922554016,848.9981079101562,177.9232635498047,0.9996895790100098,877.8944702148438,170.66969299316406,0.997660756111145,794.4959106445312,162.2786102294922,0.9913613200187683,801.2138061523438,139.17962646484375,0.9997531771659851,873.2738037109375,123.016357421875,0.9897118806838989,788.7611083984375,205.84756469726562,0.9046533703804016,842.970703125,210.19625854492188,0.9998194575309753,789.4392700195312,206.06732177734375,0.6018146276473999
1,769.3933715820312,145.00161743164062,0.9865532517433167,786.8226318359375,222.28411865234375,0.9885614514350891,797.240234375,188.52340698242188,0.9996294975280762,818.7117309570312,183.70516967773438,0.9990148544311523,848.9981079101562,178.17950439453125,0.999657154083252,877.8944702148438,172.0652313232422,0.9986565113067627,794.7977905273438,162.3623046875,0.9869242310523987,801.4881591796875,139.19776916503906,0.9998878240585327,873.2738037109375,123.44247436523438,0.9927610158920288,788.7611083984375,207.1581268310547,0.9413726925849915,844.0296630859375,211.6965789794922,0.9998549222946167,870.7400512695312,206.06732177734375,0.821003794670105
2,773.5299072265625,145.00161743164062,0.9967005848884583,787.246337890625,223.114990234375,0.9882532954216003,797.240234375,188.52340698242188,0.999595582485199,818.7117309570312,183.70516967773438,0.9989136457443237,848.9981079101562,178.2835693359375,0.9995916485786438,877.8944702148438,172.49923706054688,0.9990586638450623,794.7977905273438,162.3623046875,0.9767858982086182,802.07861328125,139.31114196777344,0.9998382329940796,873.2738037109375,123.49309539794922,0.993178129196167,788.7611083984375,207.626708984375,0.9710476994514465,844.0296630859375,211.86398315429688,0.9998080134391785,870.7400512695312,206.06732177734375,0.9764284491539001
3,777.9356079101562,142.5681915283203,0.9108681082725525,786.8226318359375,224.1505889892578,0.9767067432403564,795.3862915039062,188.51036071777344,0.9991251826286316,817.0908813476562,183.57676696777344,0.9983069896697998,846.3494262695312,179.1248779296875,0.9995958209037781,875.8283081054688,173.90907287597656,0.9992651343345642,794.7977905273438,162.2786102294922,0.9529956579208374,801.4881591796875,139.19776916503906,0.9997509121894836,872.9710693359375,123.56986999511719,0.9911907911300659,787.468505859375,207.626708984375,0.9657025337219238,844.0296630859375,212.359375,0.9998431205749512,870.7400512695312,204.90054321289062,0.9869546294212341
4,778.1282348632812,136.73623657226562,0.8134555220603943,786.8226318359375,224.68496704101562,0.9891519546508789,794.6373291015625,188.46070861816406,0.9989417195320129,816.9173583984375,182.2348175048828,0.9984731078147888,845.7304077148438,179.30825805664062,0.9998119473457336,874.1181030273438,175.00540161132812,0.9989989399909973,794.7085571289062,161.4298858642578,0.9518700242042542,801.2138061523438,139.5442657470703,0.9991233944892883,872.70263671875,123.91244506835938,0.989936113357544,785.5321044921875,207.626708984375,0.977904200553894,843.3458862304688,212.55039978027344,0.9997603297233582,865.830322265625,204.90054321289062,0.9916090369224548
5,778.1282348632812,135.58106994628906,0.8293364644050598,785.9492797851562,224.96859741210938,0.9925092458724976,794.1265869140625,188.03744506835938,0.9984458088874817,815.3143920898438,182.2348175048828,0.999427080154419,844.6100463867188,179.423583984375,0.9998216032981873,873.5504760742188,176.51271057128906,0.9987261891365051,793.3063354492188,160.75674438476562,0.8913184404373169,800.6049194335938,139.5442657470703,0.9986405968666077,872.5146484375,123.98265838623047,0.9892289638519287,783.8229370117188,207.45010375976562,0.9828973412513733,842.3095092773438,212.87452697753906,0.9997712969779968,860.8004760742188,204.90054321289062,0.9969447255134583
6,778.1282348632812,135.58106994628906,0.9824751019477844,785.521484375,225.30931091308594,0.9956809282302856,790.7379760742188,187.61245727539062,0.9995434880256653,813.31201171875,182.2348175048828,0.9994359612464905,843.5836181640625,179.423583984375,0.9998225569725037,872.104248046875,177.01416015625,0.999504566192627,791.89111328125,155.25933837890625,0.9505783915519714,800.065673828125,139.5442657470703,0.9990944862365723,872.4220581054688,124.30887603759766,0.988978922367096,783.2772216796875,207.288330078125,0.9851963520050049,841.7799682617188,213.2288055419922,0.9995824694633484,860.1989135742188,205.591064453125,0.9964936375617981
7,775.4328002929688,135.58106994628906,0.9937315583229065,782.1509399414062,225.77047729492188,0.9942505359649658,788.1935424804688,187.04449462890625,0.9996739625930786,810.1572265625,182.31234741210938,0.9992983341217041,842.171142578125,179.423583984375,0.9997671246528625,870.6204223632812,177.01416015625,0.9996763467788696,791.7821044921875,155.25933837890625,0.9632347226142883,798.3517456054688,139.5442657470703,0.9989510774612427,872.3564453125,124.61136627197266,0.9890574812889099,782.9381103515625,205.34130859375,0.9860294461250305,841.6867065429688,213.2288055419922,0.9996482133865356,860.0586547851562,205.591064453125,0.9959912896156311
8,769.4893798828125,136.71693420410156,0.994045078754425,777.0455932617188,226.19412231445312,0.9990059733390808,787.458740234375,186.83216857910156,0.999687671661377,809.160888671875,182.31234741210938,0.9994992017745972,840.5771484375,179.04904174804688,0.9998292922973633,869.1427612304688,177.01416015625,0.9997383952140808,790.7011108398438,154.64602661132812,0.9764229655265808,797.4666137695312,139.5442657470703,0.9992068409919739,872.2176513671875,124.6474609375,0.9901199340820312,782.4320678710938,204.85520935058594,0.9895638823509216,841.2610473632812,213.2288055419922,0.9995020627975464,859.3663940429688,205.6039581298828,0.9960272312164307
9,767.2972412109375,137.0123748779297,0.9950190782546997,773.9029541015625,228.2105255126953,0.9997120499610901,785.9226684570312,186.60667419433594,0.9997332692146301,808.193603515625,182.31234741210938,0.9996222257614136,839.48876953125,178.41795349121094,0.9998916387557983,867.4371948242188,176.75274658203125,0.9996090531349182,790.6256713867188,155.16482543945312,0.9739415049552917,796.3350219726562,139.44464111328125,0.9994439482688904,872.1937866210938,124.73277282714844,0.9889790415763855,782.4320678710938,204.85520935058594,0.9886820316314697,840.6969604492188,213.2288055419922,0.9993799924850464,857.829833984375,205.61729431152344,0.9959651231765747
10,763.03564453125,137.44276428222656,0.9961572289466858,771.6610717773438,228.51649475097656,0.9998291730880737,784.5234985351562,186.09764099121094,0.9995212554931641,806.8770751953125,181.23565673828125,0.9997350573539734,837.8735961914062,177.47572326660156,0.9998937845230103,864.4190673828125,174.5685577392578,0.9995288848876953,789.9619750976562,155.16482543945312,0.9870563745498657,795.4100341796875,138.5659942626953,0.999580442905426,871.9486083984375,124.73560333251953,0.9906110167503357,781.4685668945312,204.85520935058594,0.9890479445457458,840.520263671875,213.3466339111328,0.9989700317382812,855.8396606445312,205.66978454589844,0.9930389523506165
11,760.0172729492188,138.95425415039062,0.9940650463104248,770.6840209960938,228.51649475097656,0.9997875094413757,782.25,186.05552673339844,0.9994043111801147,805.6998901367188,180.93675231933594,0.9997374415397644,836.3563232421875,177.45452880859375,0.9998824596405029,863.9285888671875,174.5685577392578,0.9995248317718506,787.8487548828125,155.16482543945312,0.99277663230896,794.3237915039062,137.81346130371094,0.9996756315231323,871.8260498046875,124.77484893798828,0.9900689721107483,780.7041015625,205.01475524902344,0.9881481528282166,840.0789184570312,212.9838409423828,0.9986528158187866,855.6105346679688,205.68833923339844,0.9912227392196655
12,759.9583740234375,140.85296630859375,0.9984931945800781,769.2240600585938,228.51649475097656,0.9997112154960632,780.9800415039062,186.04611206054688,0.9994137287139893,803.5313720703125,180.86322021484375,0.9997199177742004,834.7105712890625,177.45452880859375,0.9998308420181274,862.6400146484375,174.5685577392578,0.9996761083602905,784.634765625,155.16482543945312,0.9941125512123108,794.198974609375,137.80831909179688,0.9996283054351807,871.6715087890625,124.88955688476562,0.9905521869659424,780.7041015625,205.89407348632812,0.9839093089103699,839.9301147460938,211.55178833007812,0.9979828596115112,854.9365234375,205.8153533935547,0.9892271757125854
13,758.0462646484375,143.11892700195312,0.9994686245918274,767.30517578125,228.0413055419922,0.999388575553894,779.8761596679688,185.50424194335938,0.9992062449455261,802.1068725585938,180.5286865234375,0.9994851350784302,832.7875366210938,177.2362823486328,0.9996446371078491,861.263427734375,174.82151794433594,0.9997289776802063,782.5691528320312,156.64590454101562,0.9890144467353821,793.2029418945312,137.39295959472656,0.9997157454490662,871.6359252929688,124.93646240234375,0.988819420337677,780.7041015625,205.89407348632812,0.9759488105773926,840.0789184570312,211.55178833007812,0.996155321598053,853.8554077148438,206.83331298828125,0.9886724352836609
14,752.15283203125,146.11215209960938,0.9973084926605225,765.2315063476562,227.25238037109375,0.9985249638557434,778.49853515625,185.15440368652344,0.9989718198776245,801.2129516601562,178.3314208984375,0.9992659687995911,831.160888671875,177.2362823486328,0.9994567036628723,859.932373046875,174.8377685546875,0.9996880292892456,778.3826293945312,156.7652587890625,0.9892643094062805,793.2029418945312,137.1243438720703,0.9996705055236816,871.5960693359375,124.94705200195312,0.9883779883384705,782.864990234375,205.6803436279297,0.9634612798690796,839.7605590820312,211.35134887695312,0.986548125743866,853.6041259765625,208.1426239013672,0.9912388920783997
