scorer,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1142.7896728515625,88.770263671875,0.3943885564804077,1129.86767578125,167.94239807128906,0.9559486508369446,1157.0914306640625,125.34262084960938,0.9884843230247498,1177.359375,129.85655212402344,0.9694399833679199,1207.975341796875,136.36654663085938,0.9929192662239075,1244.1864013671875,140.6314239501953,0.9980698227882385,1152.09228515625,101.17298889160156,0.4281001091003418,1206.4755859375,87.10494995117188,0.9975359439849854,1260.36767578125,109.83769989013672,0.9725373387336731,1167.2872314453125,145.97222900390625,0.6589493155479431,1172.545166015625,182.503662109375,0.9530338644981384,1241.680419921875,178.90093994140625,0.9817517399787903
1,1142.7896728515625,89.08938598632812,0.29551902413368225,1129.86767578125,167.94239807128906,0.9487079977989197,1157.0914306640625,125.42969512939453,0.9870265126228333,1177.359375,130.14007568359375,0.9679255485534668,1207.975341796875,136.36654663085938,0.9921048879623413,1244.1864013671875,140.6314239501953,0.9980565905570984,1152.09228515625,101.3973159790039,0.34664952754974365,1206.4755859375,87.14618682861328,0.9975711703300476,1260.428466796875,110.0658187866211,0.9678804278373718,1167.5244140625,146.4439697265625,0.6457589864730835,1172.545166015625,182.503662109375,0.9511216878890991,1241.680419921875,178.90093994140625,0.9802409410476685
2,1142.7896728515625,89.29896545410156,0.3438049852848053,1129.86767578125,167.94239807128906,0.9333173632621765,1157.0914306640625,125.55888366699219,0.9879789352416992,1177.359375,130.3096923828125,0.9683056473731995,1207.975341796875,136.36654663085938,0.9927104711532593,1244.1864013671875,140.6314239501953,0.9981411695480347,1152.09228515625,101.3973159790039,0.3383501172065735,1206.4755859375,87.36148071289062,0.9976775050163269,1260.7359619140625,110.0658187866211,0.9724975228309631,1168.9415283203125,149.54483032226562,0.6222885847091675,1172.545166015625,182.503662109375,0.9619296789169312,1241.680419921875,178.90093994140625,0.9776791334152222
3,1142.61865234375,89.29896545410156,0.6164141893386841,1125.8563232421875,165.3665771484375,0.9291936755180359,1156.8182373046875,125.60302734375,0.9937819838523865,1176.0574951171875,130.40667724609375,0.9768682718276978,1207.2978515625,136.17501831054688,0.9923279881477356,1243.513427734375,140.5806884765625,0.9978826642036438,1150.6495361328125,101.3973159790039,0.5241073966026306,1206.4393310546875,87.47391510009766,0.9970248341560364,1260.428466796875,109.8948974609375,0.9692391753196716,1169.55078125,149.4139404296875,0.6472463607788086,1170.935791015625,182.503662109375,0.9648522734642029,1241.0782470703125,178.4279327392578,0.9776887893676758
4,1134.69775390625,89.29896545410156,0.9012084603309631,1125.4892578125,162.65499877929688,0.9683992266654968,1156.716064453125,125.90180969238281,0.9976145029067993,1174.8553466796875,130.8833465576172,0.9819783568382263,1207.24560546875,135.97219848632812,0.9924505352973938,1243.45654296875,140.51974487304688,0.9979448914527893,1148.919189453125,100.21104431152344,0.7718451619148254,1205.9676513671875,87.47391510009766,0.9971784353256226,1260.36767578125,109.8948974609375,0.9662336707115173,1169.55078125,149.74722290039062,0.7097342014312744,1169.5352783203125,182.503662109375,0.9613960385322571,1240.968505859375,178.4279327392578,0.9776315689086914
5,1133.638427734375,89.29896545410156,0.9365746378898621,1123.606689453125,160.56796264648438,0.9673377871513367,1156.50634765625,125.93138122558594,0.9977782368659973,1174.774169921875,131.39190673828125,0.9845955967903137,1206.807373046875,135.93911743164062,0.9917005896568298,1242.5511474609375,140.5115966796875,0.997661828994751,1148.6324462890625,99.51580047607422,0.7396479249000549,1205.9676513671875,87.57396697998047,0.9972623586654663,1259.49365234375,109.9372787475586,0.9715123772621155,1169.55078125,149.9378204345703,0.6935579776763916,1166.564697265625,184.03355407714844,0.9516472816467285,1240.9056396484375,178.4279327392578,0.9747036099433899
6,1131.948974609375,89.29896545410156,0.9361315965652466,1123.3792724609375,160.01622009277344,0.9529258608818054,1156.16796875,126.46952056884766,0.9983206391334534,1174.100830078125,132.09823608398438,0.9860268831253052,1206.5797119140625,135.81124877929688,0.9914608001708984,1242.313720703125,140.44998168945312,0.9972965121269226,1148.224365234375,99.40180969238281,0.7567963004112244,1205.9619140625,87.57396697998047,0.9968020915985107,1259.47998046875,109.8948974609375,0.9709239602088928,1169.13330078125,149.9378204345703,0.7216992974281311,1165.3997802734375,184.24412536621094,0.9460561275482178,1240.80224609375,178.4279327392578,0.9729576110839844
7,1129.209716796875,89.55523681640625,0.934846043586731,1122.3597412109375,158.417236328125,0.9040994644165039,1155.26318359375,126.66261291503906,0.9985554814338684,1173.870849609375,132.15003967285156,0.9847972989082336,1204.1119384765625,134.26748657226562,0.992097020149231,1242.20361328125,140.40640258789062,0.9971651434898376,1148.224365234375,99.40180969238281,0.795559823513031,1205.9676513671875,87.72028350830078,0.9970115423202515,1259.47998046875,109.8948974609375,0.973505437374115,1168.916748046875,149.97512817382812,0.7150901556015015,1165.19287109375,184.24412536621094,0.942294180393219,1240.80224609375,178.4279327392578,0.9747040271759033
8,1128.6522216796875,92.43358612060547,0.9707599878311157,1120.6434326171875,157.46853637695312,0.9133150577545166,1154.5484619140625,126.95228576660156,0.9986718893051147,1173.049560546875,132.2635040283203,0.987845242023468,1203.7392578125,134.26748657226562,0.9924008846282959,1242.040283203125,140.38888549804688,0.9968879818916321,1148.224365234375,98.71575927734375,0.8989267349243164,1205.9619140625,87.72028350830078,0.9970203042030334,1259.4920654296875,109.71452331542969,0.9749701619148254,1168.88037109375,149.97512817382812,0.7550606727600098,1165.19287109375,184.24412536621094,0.932495653629303,1240.79248046875,175.6568145751953,0.9752968549728394
9,1120.7037353515625,97.3623046875,0.9893863201141357,1120.58740234375,157.46853637695312,0.9443747401237488,1154.461181640625,127.6983642578125,0.9989084005355835,1172.1239013671875,132.2635040283203,0.988325834274292,1203.5306396484375,134.26748657226562,0.991682767868042,1241.83203125,140.35720825195312,0.9968248605728149,1148.4429931640625,98.71575927734375,0.9555025100708008,1205.9736328125,87.76251983642578,0.9969063401222229,1259.4017333984375,109.54159545898438,0.9721641540527344,1168.848388671875,149.9378204345703,0.7878963351249695,1165.19287109375,184.01646423339844,0.9387423396110535,1240.79248046875,175.54649353027344,0.9737274050712585
10,1116.185302734375,99.54821014404297,0.99315345287323,1119.7945556640625,157.46853637695312,0.9588683247566223,1153.707275390625,128.0109405517578,0.9990015625953674,1171.248291015625,132.3919219970703,0.9908842444419861,1203.5306396484375,134.31712341308594,0.9909488558769226,1241.7178955078125,140.31097412109375,0.9970834851264954,1151.2108154296875,98.71575927734375,0.9680987000465393,1205.9619140625,87.9229965209961,0.996864378452301,1259.4017333984375,109.54159545898438,0.970249593257904,1168.848388671875,149.7932891845703,0.7607430815696716,1165.19287109375,183.71377563476562,0.9314989447593689,1240.6156005859375,175.53274536132812,0.9759356379508972
11,1116.185302734375,100.40020751953125,0.9916395545005798,1118.23779296875,157.97605895996094,0.9637704491615295,1153.1341552734375,128.46205139160156,0.9987331032752991,1170.1998291015625,132.58921813964844,0.9920200705528259,1203.5306396484375,134.38282775878906,0.9898899793624878,1241.098388671875,140.09036254882812,0.9971869587898254,1151.765869140625,99.03345489501953,0.9721682071685791,1205.880859375,87.93567657470703,0.9967533946037292,1259.4017333984375,109.54159545898438,0.9724494814872742,1168.71240234375,149.6464080810547,0.7484333515167236,1165.19287109375,183.35565185546875,0.9282543063163757,1240.32861328125,175.4383544921875,0.975797712802887
12,1116.185302734375,100.50399780273438,0.992245614528656,1117.3094482421875,158.2734832763672,0.9527397751808167,1152.5511474609375,129.3353271484375,0.998771607875824,1169.4500732421875,132.84841918945312,0.9912989735603333,1203.5391845703125,136.5435791015625,0.9900888800621033,1239.854248046875,139.9006805419922,0.9972767233848572,1152.283447265625,99.7003402709961,0.9731623530387878,1205.8616943359375,87.93567657470703,0.9970777034759521,1258.506591796875,109.8741455078125,0.9730426073074341,1168.5816650390625,149.6464080810547,0.7359001040458679,1165.055908203125,183.29969787597656,0.9211497902870178,1240.0023193359375,175.4168701171875,0.9796477556228638
13,1116.27783203125,101.97354888916016,0.9894335865974426,1117.2874755859375,158.7601318359375,0.9558911323547363,1152.0931396484375,129.6650848388672,0.9987909197807312,1168.6749267578125,133.1839141845703,0.9904400110244751,1203.5391845703125,136.67178344726562,0.9899849891662598,1239.1556396484375,139.82122802734375,0.9976365566253662,1152.283447265625,100.57869720458984,0.976446270942688,1205.8046875,88.01458740234375,0.9971643090248108,1258.4310302734375,110.16362762451172,0.9687168002128601,1167.995361328125,149.6464080810547,0.7342807054519653,1165.0548095703125,183.201171875,0.9280347228050232,1239.57373046875,175.15560913085938,0.9792075753211975
14,1116.27783203125,102.20528411865234,0.988223671913147,1117.2874755859375,160.82904052734375,0.9676802158355713,1151.8917236328125,130.74754333496094,0.9988930821418762,1167.986328125,133.92303466796875,0.9902225732803345,1203.5391845703125,136.73036193847656,0.9886496067047119,1238.5394287109375,139.82122802734375,0.9976844787597656,1151.765869140625,101.0626220703125,0.9777581095695496,1205.7578125,88.13623809814453,0.9971697926521301,1258.30029296875,110.16362762451172,0.9719849228858948,1167.7572021484375,150.33651733398438,0.7329772114753723,1165.0435791015625,183.1996307373047,0.9329571723937988,1239.3828125,175.15560913085938,0.9824888706207275
