scorer,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,119.7670669555664,108.4377212524414,0.9984814524650574,98.02581787109375,175.39346313476562,0.9930275082588196,90.02195739746094,138.35952758789062,0.997873067855835,68.76055145263672,139.1448516845703,0.9939796924591064,37.14234161376953,134.74229431152344,0.9970861077308655,7.241202354431152,130.4300079345703,0.9922916293144226,89.22974395751953,108.4257583618164,0.8902485966682434,81.6553726196289,87.87373352050781,0.9816531538963318,8.36025333404541,84.95809936523438,0.9661186337471008,93.69346618652344,168.1641387939453,0.974202573299408,40.99795913696289,167.93475341796875,0.9902400970458984,5.963699817657471,159.59716796875,0.5210159420967102
1,123.69855499267578,108.6610107421875,0.9979488253593445,99.91268157958984,175.39346313476562,0.9810278415679932,91.56587219238281,138.4253692626953,0.9962994456291199,69.90818786621094,139.1448516845703,0.993059515953064,38.658905029296875,134.74229431152344,0.9972965121269226,8.018238067626953,130.48068237304688,0.9940522313117981,89.59220123291016,108.4257583618164,0.9343200922012329,85.6233901977539,88.47045135498047,0.989164412021637,8.582563400268555,85.23468017578125,0.9676862359046936,96.41304779052734,168.1641387939453,0.9753207564353943,40.99795913696289,167.93475341796875,0.9917076230049133,6.9609174728393555,159.60748291015625,0.51447594165802
2,127.57666015625,113.25676727294922,0.9975199103355408,101.93377685546875,175.39346313476562,0.9601424336433411,91.8106918334961,139.76364135742188,0.9965445399284363,72.44286346435547,139.24375915527344,0.9942702054977417,40.434532165527344,134.74229431152344,0.9979817867279053,9.759357452392578,130.69427490234375,0.9967735409736633,89.92972564697266,108.4257583618164,0.9445709586143494,89.27550506591797,88.6615982055664,0.9864596128463745,8.957560539245605,85.3315658569336,0.9664062261581421,101.80864715576172,168.1641387939453,0.9642735123634338,41.08648681640625,167.93475341796875,0.9921101927757263,8.531612396240234,160.75381469726562,0.8494306206703186
3,129.5886993408203,114.85394287109375,0.9986352324485779,107.79798889160156,173.08084106445312,0.9338539242744446,93.34864044189453,139.76364135742188,0.9966593980789185,74.3108139038086,139.3447723388672,0.9940425753593445,40.434532165527344,134.74229431152344,0.9982990622520447,11.253003120422363,131.4617156982422,0.998110294342041,90.78389739990234,108.21353912353516,0.956720232963562,89.27550506591797,88.6615982055664,0.9832295775413513,9.023898124694824,85.33172607421875,0.9705640077590942,105.5625,163.89935302734375,0.9794753789901733,41.25286865234375,167.71556091308594,0.9896727800369263,13.25263786315918,162.0122833251953,0.9236694574356079
4,132.07470703125,117.22671508789062,0.999200165271759,108.57112884521484,170.78555297851562,0.9606184363365173,94.35517883300781,139.76364135742188,0.9969466328620911,75.59793090820312,139.3447723388672,0.9945231676101685,42.21612548828125,134.74229431152344,0.9987695813179016,12.84401798248291,131.53582763671875,0.998530387878418,91.83043670654297,107.83194732666016,0.9592625498771667,89.27550506591797,88.6615982055664,0.981495201587677,9.316017150878906,85.33172607421875,0.9794507622718811,106.00391387939453,163.64852905273438,0.9837563037872314,41.704383850097656,167.5110321044922,0.9888624548912048,20.587068557739258,162.62109375,0.8782809376716614
5,136.08676147460938,121.08638000488281,0.9971526861190796,108.94206237792969,170.27578735351562,0.96275794506073,95.2626724243164,142.44955444335938,0.9973226189613342,76.68172454833984,139.61647033691406,0.9935908317565918,44.17580795288086,134.58645629882812,0.9987014532089233,14.81696891784668,131.53582763671875,0.9967514276504517,92.49227142333984,107.5345230102539,0.963013231754303,88.4065170288086,90.01980590820312,0.9828888177871704,9.666990280151367,85.33172607421875,0.9832867383956909,106.2755126953125,163.41033935546875,0.9810107350349426,41.704383850097656,167.26651000976562,0.9881099462509155,22.604467391967773,162.7232208251953,0.8994910717010498
6,136.14117431640625,122.62989044189453,0.99710613489151,109.47647094726562,170.27578735351562,0.9764378666877747,96.53145599365234,142.44955444335938,0.9983969330787659,76.93336486816406,139.62123107910156,0.9951798915863037,46.146732330322266,134.58645629882812,0.9985045194625854,15.496003150939941,131.5501251220703,0.9933907985687256,93.16500854492188,107.5345230102539,0.9545296430587769,88.4065170288086,90.01980590820312,0.9813806414604187,10.222347259521484,85.24517059326172,0.9856047034263611,106.56565856933594,163.41033935546875,0.9845896363258362,41.704383850097656,167.19747924804688,0.9871270656585693,22.6090145111084,162.9283905029297,0.9136927723884583
7,137.9140625,124.17434692382812,0.9957162737846375,109.6949462890625,170.27578735351562,0.9719993472099304,97.46394348144531,142.44955444335938,0.9985933899879456,77.39698028564453,139.62123107910156,0.996336817741394,48.5626220703125,134.0685272216797,0.998479425907135,16.995136260986328,131.53582763671875,0.994103729724884,93.66459655761719,107.83194732666016,0.9521735310554504,88.4065170288086,90.01980590820312,0.9820130467414856,10.669000625610352,85.13287353515625,0.9870162010192871,106.82522583007812,163.41033935546875,0.9869416356086731,41.704383850097656,167.19747924804688,0.9884081482887268,22.62714385986328,162.9423370361328,0.9292051792144775
8,138.5322265625,124.46054077148438,0.9935588240623474,110.21061706542969,170.27578735351562,0.9758904576301575,98.97473907470703,142.312744140625,0.9988572597503662,78.47515869140625,139.61647033691406,0.9971206188201904,49.3719367980957,133.67861938476562,0.9988890290260315,17.863245010375977,131.35362243652344,0.9940503239631653,94.27266693115234,107.83194732666016,0.9438651204109192,88.88892364501953,89.84585571289062,0.9818706512451172,10.71872329711914,85.13287353515625,0.9881949424743652,107.14208221435547,163.41033935546875,0.9876691699028015,41.704383850097656,167.26651000976562,0.9885629415512085,22.81328010559082,162.99497985839844,0.936172366142273
9,139.29348754882812,124.46054077148438,0.9915603995323181,110.21061706542969,170.37991333007812,0.967846155166626,99.69657897949219,142.0890350341797,0.9989020824432373,79.66707611083984,139.54925537109375,0.997421383857727,50.864288330078125,133.41368103027344,0.9990461468696594,18.83824348449707,131.29818725585938,0.9931055903434753,95.13074493408203,108.02921295166016,0.9516193270683289,90.39445495605469,89.62728118896484,0.983359158039093,11.01955795288086,85.12618255615234,0.9901114106178284,107.14208221435547,163.41033935546875,0.9888598918914795,43.58238220214844,168.4078369140625,0.9911003708839417,22.83391571044922,163.43504333496094,0.9502589106559753
10,140.64312744140625,124.46054077148438,0.9945759773254395,110.21061706542969,170.73255920410156,0.9665305018424988,101.32544708251953,141.78318786621094,0.9987216591835022,81.33544158935547,139.50888061523438,0.996975302696228,52.324378967285156,133.41368103027344,0.99921715259552,20.55058479309082,131.13954162597656,0.9916499853134155,95.94570922851562,108.35763549804688,0.9406232833862305,91.37541198730469,89.52392578125,0.9828003644943237,11.345926284790039,85.12618255615234,0.9904285669326782,107.41450500488281,164.40505981445312,0.9889287352561951,44.48649597167969,168.4078369140625,0.9916743636131287,23.46122932434082,163.4774169921875,0.9447284936904907
11,142.7330322265625,124.46054077148438,0.9943720102310181,109.79802703857422,172.58111572265625,0.9448038339614868,102.71398162841797,141.18658447265625,0.998430073261261,82.53925323486328,139.39598083496094,0.996647298336029,53.11732864379883,133.41368103027344,0.9991382360458374,22.26856231689453,131.00918579101562,0.9891662001609802,96.08306884765625,109.16900634765625,0.9312745332717896,91.7975845336914,89.52392578125,0.9832296967506409,11.564922332763672,85.56897735595703,0.9914855360984802,107.41450500488281,166.45359802246094,0.9844373464584351,45.32814407348633,168.4078369140625,0.9923602938652039,23.478759765625,164.01022338867188,0.9551135897636414
12,143.67550659179688,124.57389068603516,0.9936224818229675,109.79802703857422,176.86216735839844,0.9543040990829468,104.22960662841797,141.18658447265625,0.9984523057937622,84.16165161132812,139.39598083496094,0.996731162071228,54.513423919677734,133.7122039794922,0.9991293549537659,24.479475021362305,129.77432250976562,0.9897262454032898,96.16597747802734,109.59910583496094,0.9199758172035217,91.97737121582031,89.3163070678711,0.9849132895469666,12.196647644042969,85.70824432373047,0.9913411736488342,107.41450500488281,168.29611206054688,0.9785922169685364,45.38550567626953,168.40133666992188,0.9926224946975708,23.559314727783203,164.2261199951172,0.9584484100341797
13,145.2491455078125,125.28816986083984,0.9907275438308716,109.46363830566406,177.66140747070312,0.9607656002044678,104.4684066772461,141.18658447265625,0.9983676075935364,84.45978546142578,139.38967895507812,0.9970964193344116,55.454627990722656,133.7122039794922,0.9990839958190918,25.604637145996094,129.67691040039062,0.9919719696044922,96.52798461914062,110.420654296875,0.9136232137680054,92.25933837890625,89.5219955444336,0.9867625832557678,12.304333686828613,85.81304168701172,0.9917547702789307,108.27313995361328,168.41363525390625,0.9798287749290466,45.38550567626953,167.83607482910156,0.9925801157951355,23.59060287475586,164.2261199951172,0.9562220573425293
14,145.74453735351562,126.3849105834961,0.9937589168548584,109.09618377685547,177.71524047851562,0.9600110054016113,105.27626037597656,141.26287841796875,0.9978482723236084,85.3000259399414,139.39598083496094,0.996921181678772,56.73721694946289,133.80316162109375,0.9989017248153687,26.681543350219727,129.62728881835938,0.9935033917427063,97.48883056640625,111.21492004394531,0.9067210555076599,92.25933837890625,89.5219955444336,0.9880507588386536,12.407557487487793,85.83391571044922,0.9915316700935364,108.31141662597656,168.78477478027344,0.9773023128509521,45.925750732421875,167.64776611328125,0.9924647808074951,23.59060287475586,164.2261199951172,0.9625935554504395
