scorer,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,71.315673828125,158.8223114013672,0.9923075437545776,5.212404251098633,195.5067138671875,0.15718702971935272,39.58723068237305,180.20089721679688,0.9953789710998535,26.324684143066406,175.0181884765625,0.9691019058227539,5.8317179679870605,169.17376708984375,0.6236030459403992,33.660400390625,182.3417510986328,0.03797350078821182,54.65751266479492,163.43624877929688,0.9921301007270813,48.551910400390625,122.54395294189453,0.9879606366157532,51.2198600769043,126.51644134521484,0.1724916249513626,9.083732604980469,197.17742919921875,0.9261850714683533,10.436532974243164,209.41336059570312,0.951293408870697,3.09588623046875,125.37775421142578,0.005685960408300161
1,71.78472900390625,158.8223114013672,0.9823931455612183,52.14623260498047,198.45828247070312,0.4353516399860382,39.64855194091797,180.59945678710938,0.9950313568115234,26.39362335205078,175.3800048828125,0.9753197431564331,5.8317179679870605,169.7382049560547,0.703065037727356,40.91136169433594,182.6521759033203,0.05552387237548828,54.65751266479492,163.43624877929688,0.9910508394241333,48.551910400390625,122.57884216308594,0.9874524474143982,51.2198600769043,126.66596221923828,0.2307661771774292,9.152046203613281,197.17742919921875,0.9632618427276611,12.079895973205566,210.10899353027344,0.945502758026123,3.09588623046875,215.8748321533203,0.008235598914325237
2,71.78472900390625,158.8223114013672,0.9436048865318298,54.56941604614258,198.45828247070312,0.4236939549446106,39.96940231323242,181.0911865234375,0.9962620139122009,26.971065521240234,177.91343688964844,0.9776322841644287,5.8317179679870605,169.885986328125,0.716469407081604,41.10151672363281,183.1271209716797,0.07554162293672562,54.65751266479492,163.43624877929688,0.9914510846138,48.551910400390625,122.57884216308594,0.9893284440040588,51.2198600769043,127.2828369140625,0.25432252883911133,10.871224403381348,197.2575225830078,0.9544811844825745,12.877680778503418,211.70814514160156,0.9343097805976868,3.2354393005371094,216.24710083007812,0.007183874491602182
3,71.78472900390625,146.1869354248047,0.9706220626831055,58.244571685791016,198.45828247070312,0.7329288125038147,40.90636444091797,181.11131286621094,0.9979259967803955,27.35849380493164,178.54391479492188,0.9827216267585754,5.627272129058838,170.18370056152344,0.727490246295929,41.811676025390625,183.27615356445312,0.05995732918381691,52.331687927246094,162.58934020996094,0.9940261840820312,48.52129364013672,122.57884216308594,0.9865721464157104,51.06453323364258,127.50484466552734,0.24207478761672974,12.006959915161133,197.2575225830078,0.939743161201477,14.80025863647461,212.9883575439453,0.9362581372261047,3.2354393005371094,216.24710083007812,0.008342422544956207
4,71.78472900390625,146.1869354248047,0.9965903759002686,58.66980743408203,198.4281768798828,0.7840110659599304,41.937992095947266,181.24594116210938,0.9978241920471191,27.35849380493164,178.61758422851562,0.9893335700035095,5.186321258544922,170.44912719726562,0.7415690422058105,42.83665466308594,183.31983947753906,0.06096813827753067,51.98823547363281,162.58934020996094,0.9953889846801758,46.9041748046875,122.1387939453125,0.9881370663642883,50.59688186645508,127.50484466552734,0.24751955270767212,49.72301483154297,198.30442810058594,0.9531692266464233,15.511701583862305,214.73812866210938,0.9156321883201599,3.64211368560791,217.34022521972656,0.012208339758217335
5,73.69902801513672,146.1869354248047,0.9990587830543518,65.78141021728516,198.4281768798828,0.8341209888458252,43.547080993652344,182.3435516357422,0.9979308843612671,28.629222869873047,179.17059326171875,0.9968023300170898,5.186321258544922,170.5386505126953,0.804893970489502,43.29106140136719,184.53912353515625,0.0336943157017231,51.98823547363281,162.58934020996094,0.9968184232711792,46.73881149291992,122.0340805053711,0.9906021356582642,50.32125473022461,127.50484466552734,0.26094335317611694,52.314842224121094,199.5093994140625,0.9552598595619202,16.158056259155273,215.24807739257812,0.9096828103065491,4.600651741027832,218.04168701171875,0.008306236006319523
6,75.63868713378906,148.35264587402344,0.9988799691200256,67.44475555419922,198.4281768798828,0.8749939203262329,45.0850830078125,183.1445770263672,0.9976696372032166,29.527502059936523,179.1775360107422,0.9973280429840088,5.186321258544922,170.720947265625,0.8334559798240662,44.41228103637695,184.56532287597656,0.03429426997900009,51.98823547363281,162.87001037597656,0.9964423775672913,46.29729080200195,121.77018737792969,0.9913098812103271,49.9434700012207,126.76179504394531,0.3662639558315277,52.314842224121094,199.5093994140625,0.9541212320327759,16.264863967895508,216.4713897705078,0.9053487777709961,4.600651741027832,218.04168701171875,0.012864753603935242
7,77.51448822021484,152.2064666748047,0.9982454776763916,67.62000274658203,199.77914428710938,0.8072962164878845,46.7987060546875,183.91062927246094,0.9943748712539673,30.987289428710938,179.18197631835938,0.9980995059013367,5.306321144104004,170.8681182861328,0.8508252501487732,45.01813888549805,185.66522216796875,0.0355212576687336,55.39384078979492,162.88119506835938,0.9959602952003479,45.74402618408203,121.20926666259766,0.9918495416641235,49.9078254699707,126.14866638183594,0.40386611223220825,52.314842224121094,199.5093994140625,0.9129422307014465,16.58968734741211,216.4713897705078,0.8279218077659607,5.634325981140137,144.22683715820312,0.012854420579969883
8,83.88229370117188,156.54144287109375,0.997545063495636,68.14859771728516,201.61509704589844,0.7457374334335327,47.705322265625,187.91168212890625,0.9826686382293701,32.323089599609375,179.4228515625,0.9981936812400818,5.990261554718018,171.1563262939453,0.8759542107582092,45.20328903198242,186.90493774414062,0.05804814398288727,58.86673355102539,163.36996459960938,0.9971550703048706,45.53607177734375,120.62532806396484,0.9895824193954468,49.57991409301758,125.88378143310547,0.36194801330566406,16.03900909423828,198.57266235351562,0.9052662253379822,16.94207763671875,216.4713897705078,0.949395477771759,5.634325981140137,168.7549285888672,0.009105183184146881
9,87.32875061035156,159.93170166015625,0.9992281198501587,68.4192123413086,203.05386352539062,0.6665106415748596,48.58575439453125,188.64157104492188,0.9739174246788025,32.727298736572266,179.5340576171875,0.9981815814971924,6.218419075012207,171.21739196777344,0.875983476638794,45.57302474975586,187.29779052734375,0.06066138669848442,59.855010986328125,163.5633087158203,0.9979422688484192,45.53607177734375,120.43820190429688,0.9879958033561707,49.12044143676758,125.88378143310547,0.4099746644496918,15.509479522705078,198.57266235351562,0.9446073174476624,17.133129119873047,216.1870574951172,0.9642472863197327,41.11434555053711,126.42308807373047,0.009964754804968834
10,90.03121948242188,165.07565307617188,0.9986180067062378,68.4192123413086,205.45654296875,0.3619438707828522,49.8175163269043,189.11766052246094,0.9822701811790466,32.96315002441406,179.85780334472656,0.99806147813797,6.2442193031311035,171.2274627685547,0.8819757699966431,46.39042663574219,187.61453247070312,0.03462972491979599,64.20034790039062,164.82310485839844,0.9976828098297119,45.496246337890625,120.43724060058594,0.9891748428344727,49.077091217041016,125.88378143310547,0.4673600494861603,15.461149215698242,198.1118621826172,0.9633474349975586,18.1612491607666,215.86399841308594,0.9838640689849854,41.11434555053711,126.42308807373047,0.011083992198109627
11,92.63796997070312,167.9136962890625,0.9943913817405701,68.4192123413086,206.58876037597656,0.13299524784088135,50.25394821166992,189.11766052246094,0.9840280413627625,33.15274429321289,179.85780334472656,0.9978756904602051,6.2442193031311035,171.2274627685547,0.8791991472244263,46.55192947387695,187.61453247070312,0.03114679455757141,66.18533325195312,166.18704223632812,0.9977478384971619,45.488407135009766,120.43511199951172,0.9902915358543396,49.077091217041016,125.9078369140625,0.5108939409255981,15.509479522705078,198.1118621826172,0.9765987396240234,18.1612491607666,214.87625122070312,0.9778050184249878,41.11434555053711,168.7549285888672,0.010255903005599976
12,94.91546630859375,168.74571228027344,0.990464448928833,37.511558532714844,218.6055908203125,0.4797966778278351,50.51114273071289,189.11766052246094,0.9832982420921326,33.358882904052734,179.85780334472656,0.9976671934127808,6.218419075012207,171.2714080810547,0.8614991903305054,46.6866455078125,187.61453247070312,0.027200618758797646,66.60298156738281,166.18704223632812,0.9966094493865967,45.38082504272461,120.3476333618164,0.9910634756088257,49.077091217041016,125.9078369140625,0.5358631610870361,15.715755462646484,198.57266235351562,0.9523395895957947,18.1612491607666,213.3783416748047,0.8311069011688232,40.230987548828125,212.3876953125,0.01208087895065546
13,96.83513641357422,168.74571228027344,0.9894838929176331,37.511558532714844,218.6055908203125,0.8672235012054443,51.84257888793945,189.033203125,0.9908162355422974,33.39619445800781,178.92514038085938,0.9981259703636169,4.23468542098999,172.26632690429688,0.8662375211715698,47.476898193359375,187.50160217285156,0.022152822464704514,66.60298156738281,166.18704223632812,0.9970148801803589,45.30934143066406,120.43511199951172,0.9917575716972351,49.077091217041016,125.91433715820312,0.5487439632415771,15.715755462646484,198.94676208496094,0.9345196485519409,11.878386497497559,207.80770874023438,0.5548780560493469,40.230987548828125,212.85658264160156,0.011368770152330399
14,97.3072280883789,168.74571228027344,0.993988037109375,37.511558532714844,218.6055908203125,0.933793306350708,52.46055221557617,188.91673278808594,0.9943106174468994,33.39619445800781,178.83059692382812,0.9985564351081848,3.8020877838134766,172.38284301757812,0.8889325261116028,48.313011169433594,187.48297119140625,0.02309839241206646,66.21003723144531,165.67681884765625,0.9973065853118896,45.22582244873047,120.43724060058594,0.9925581216812134,49.0310173034668,125.9598159790039,0.5474011301994324,42.07312774658203,207.58558654785156,0.8834521770477295,8.943998336791992,207.34451293945312,0.6114082336425781,40.230987548828125,212.85658264160156,0.022420257329940796
