scorer,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,64.38652801513672,73.76248931884766,0.9833221435546875,126.23037719726562,121.98284912109375,0.9892856478691101,80.98655700683594,120.45114135742188,0.9864943027496338,67.5875244140625,135.06756591796875,0.9292669296264648,47.39339065551758,160.19332885742188,0.9748604893684387,33.90918731689453,173.1938018798828,0.9944603443145752,51.4927864074707,117.6991958618164,0.7150636911392212,37.934181213378906,106.65513610839844,0.9706814885139465,7.182879447937012,146.5421142578125,0.8520243167877197,111.5130615234375,126.20657348632812,0.9242638945579529,66.85215759277344,193.1453399658203,0.9731311798095703,59.60657501220703,198.6768035888672,0.6398215293884277
1,66.16722106933594,73.76248931884766,0.9870719313621521,126.65242767333984,121.98284912109375,0.9849327206611633,81.30683898925781,120.45114135742188,0.9820501804351807,68.02616882324219,135.2479705810547,0.9131604433059692,48.04624557495117,160.31033325195312,0.9745808243751526,34.20629119873047,173.6978759765625,0.9955869913101196,52.16815185546875,117.6991958618164,0.6797052621841431,38.33726119995117,106.73729705810547,0.9706246256828308,7.2087273597717285,146.5421142578125,0.8558464646339417,112.02278900146484,126.38176727294922,0.9380829334259033,66.92923736572266,193.35073852539062,0.973349928855896,60.006187438964844,198.8248291015625,0.6697462797164917
2,68.74608612060547,73.76248931884766,0.9840643405914307,129.8448486328125,121.98284912109375,0.9869399070739746,81.46131134033203,120.45114135742188,0.9784502387046814,68.02616882324219,135.2479705810547,0.9154112339019775,49.17382049560547,160.31033325195312,0.9725142121315002,34.327938079833984,174.2951202392578,0.9958493709564209,52.40828323364258,117.6991958618164,0.6003191471099854,38.61122131347656,106.73729705810547,0.9714293479919434,7.2326979637146,146.5421142578125,0.8644858002662659,113.28094482421875,127.13655090332031,0.9509838819503784,66.92923736572266,193.3802490234375,0.9738298058509827,60.27348709106445,199.35333251953125,0.708378255367279
3,71.51282501220703,72.12525939941406,0.982987642288208,130.03921508789062,119.82699584960938,0.9807536005973816,81.59333801269531,120.07464599609375,0.9853975772857666,68.09986114501953,135.06756591796875,0.9220627546310425,50.13480758666992,160.19332885742188,0.9739775657653809,36.14380645751953,174.1481170654297,0.9964500665664673,52.934261322021484,115.95316314697266,0.6455845236778259,39.32978057861328,106.65513610839844,0.9759119153022766,7.252669334411621,146.37994384765625,0.8747978210449219,113.6124267578125,127.13655090332031,0.9295278787612915,66.85215759277344,193.3802490234375,0.9716706871986389,60.417354583740234,199.35333251953125,0.7253469824790955
4,75.41997528076172,71.28887176513672,0.9868850708007812,130.56011962890625,118.44606018066406,0.9774247407913208,81.6305923461914,119.80814361572266,0.9885547757148743,68.10535430908203,134.50430297851562,0.9393641352653503,50.84262466430664,160.07876586914062,0.9717838168144226,36.51768493652344,174.1481170654297,0.9971238970756531,54.27794647216797,112.96045684814453,0.7293664216995239,40.2540283203125,106.47281646728516,0.9788423180580139,7.252669334411621,146.37994384765625,0.8660251498222351,113.98558807373047,127.1524658203125,0.9405514597892761,66.5787582397461,193.45999145507812,0.9660465121269226,60.47257614135742,199.6371612548828,0.7286025881767273
5,76.3628158569336,70.98562622070312,0.9883422255516052,130.64410400390625,118.09431457519531,0.9796990156173706,81.6305923461914,119.39520263671875,0.9860413670539856,68.10535430908203,134.50430297851562,0.9381119012832642,51.12470626831055,159.94020080566406,0.9729676842689514,36.66432189941406,174.1481170654297,0.9973033666610718,58.63461685180664,112.105712890625,0.7456914186477661,40.312252044677734,106.29021453857422,0.9797419905662537,7.536525726318359,146.37994384765625,0.8763155937194824,114.05127716064453,127.2386703491211,0.9425805807113647,66.5787582397461,193.45999145507812,0.9694380760192871,60.43215560913086,199.78347778320312,0.7438297271728516
6,76.70428466796875,70.20703887939453,0.9893465638160706,130.73194885253906,117.29641723632812,0.9747486710548401,81.7838134765625,118.325927734375,0.9848126769065857,67.93904876708984,134.1060028076172,0.9401006102561951,51.66643142700195,159.49270629882812,0.9702281355857849,37.360233306884766,173.6454315185547,0.9978844523429871,59.884037017822266,111.31565856933594,0.8246033191680908,40.50846481323242,106.08828735351562,0.978898286819458,7.608715057373047,146.41268920898438,0.8766202330589294,114.54810333251953,127.47055053710938,0.955693781375885,66.5787582397461,193.3358612060547,0.9640227556228638,60.43215560913086,199.78347778320312,0.7519217729568481
7,77.5252456665039,70.20703887939453,0.9897562861442566,131.10865783691406,115.9354476928711,0.9707725644111633,81.92172241210938,118.22632598876953,0.9853750467300415,67.35755920410156,133.98919677734375,0.9479093551635742,51.91655731201172,159.1015167236328,0.9678899049758911,37.63717269897461,173.1116180419922,0.9979913234710693,60.304317474365234,110.56376647949219,0.8408933877944946,41.90559005737305,102.10319519042969,0.9788414835929871,7.643424034118652,146.42144775390625,0.8775014877319336,114.54810333251953,127.58307647705078,0.9562557339668274,66.5669937133789,193.28424072265625,0.969567060470581,60.6987190246582,199.87017822265625,0.7602752447128296
8,77.66693115234375,70.20703887939453,0.990021288394928,131.14097595214844,114.10045623779297,0.9659112691879272,82.14204406738281,118.12586212158203,0.9854362607002258,67.35755920410156,133.8137969970703,0.9542223811149597,52.491031646728516,158.72274780273438,0.961426854133606,37.89448165893555,172.85128784179688,0.9984166622161865,60.98930358886719,109.9386978149414,0.8604356050491333,41.90559005737305,101.9469223022461,0.9788970351219177,7.733569145202637,146.42144775390625,0.8764140009880066,114.54810333251953,127.47055053710938,0.9700521230697632,66.8557357788086,191.36033630371094,0.979350745677948,60.71760940551758,200.07020568847656,0.8033769130706787
9,77.74386596679688,72.25970458984375,0.989550769329071,131.96810913085938,113.1375503540039,0.9710795879364014,82.59383392333984,117.609619140625,0.98674076795578,67.35755920410156,133.8137969970703,0.9603462219238281,52.67533493041992,158.615234375,0.9671626687049866,37.90633010864258,172.66954040527344,0.9982352256774902,62.48390579223633,109.4208984375,0.8702849745750427,41.90559005737305,101.94566345214844,0.9788810014724731,8.104562759399414,146.5115509033203,0.8980144262313843,114.43142700195312,127.47055053710938,0.9723976254463196,66.8557357788086,191.33538818359375,0.9624191522598267,60.71760940551758,200.1771697998047,0.8267122507095337
10,77.87409210205078,72.25970458984375,0.9908096790313721,131.96810913085938,113.1375503540039,0.9635042548179626,83.30564880371094,117.53837585449219,0.9892760515213013,67.757568359375,133.61866760253906,0.9622723460197449,54.70966339111328,155.67457580566406,0.9654330015182495,38.02168655395508,172.50843811035156,0.9981441497802734,63.40219497680664,108.82945251464844,0.8637189865112305,41.67009353637695,101.14971160888672,0.9819439649581909,8.275259017944336,146.5178680419922,0.8931403160095215,114.32251739501953,127.16668701171875,0.9761850237846375,67.58827209472656,191.1382598876953,0.953166127204895,61.13145065307617,201.0651397705078,0.8786300420761108
11,77.81729888916016,72.25970458984375,0.9918637275695801,131.96810913085938,113.1375503540039,0.914160966873169,85.5053482055664,115.83560180664062,0.9920899868011475,68.92396545410156,133.0338134765625,0.9602004885673523,56.378658294677734,155.13839721679688,0.9658899903297424,38.99357223510742,172.02833557128906,0.9979731440544128,63.946842193603516,108.683837890625,0.8736835718154907,41.612247467041016,100.26702117919922,0.9803220629692078,8.275259017944336,147.15589904785156,0.9002842307090759,114.27850341796875,127.08537292480469,0.9813422560691833,68.24349975585938,189.9840087890625,0.8871918320655823,61.99167251586914,201.55943298339844,0.8368750810623169
12,77.87409210205078,71.34561920166016,0.991071879863739,124.75501251220703,126.73413848876953,0.8732990026473999,86.10493469238281,115.12108612060547,0.992489218711853,69.4990005493164,132.48423767089844,0.9597495198249817,56.378658294677734,154.28948974609375,0.9621719121932983,39.717124938964844,171.44126892089844,0.9979625940322876,65.46501922607422,106.97577667236328,0.8746889233589172,41.445064544677734,100.16936492919922,0.9785173535346985,8.134601593017578,147.2176971435547,0.9068034291267395,114.32251739501953,127.08537292480469,0.9841422438621521,87.0352554321289,170.59011840820312,0.9412967562675476,62.43345260620117,201.55943298339844,0.8511765599250793
13,77.92887115478516,70.65406036376953,0.9895339608192444,124.21968078613281,127.75788116455078,0.8724352717399597,86.25530242919922,115.05196380615234,0.9941679239273071,71.45633697509766,131.72340393066406,0.9570336937904358,56.378658294677734,154.26806640625,0.9588921666145325,40.484066009521484,170.7718048095703,0.9982011318206787,70.14972686767578,103.49417114257812,0.8952130079269409,41.445064544677734,100.0434799194336,0.9777737855911255,8.134601593017578,147.2600555419922,0.9040163159370422,114.32251739501953,127.08537292480469,0.9802277684211731,90.28404235839844,163.82374572753906,0.9828835129737854,62.445316314697266,201.55943298339844,0.8113816380500793
14,77.92887115478516,67.12272644042969,0.9884037375450134,124.21968078613281,127.75788116455078,0.8311774134635925,86.3907241821289,114.66317749023438,0.9952000379562378,73.66397857666016,131.31129455566406,0.9653416872024536,56.72501754760742,152.2276611328125,0.9662553071975708,41.4367790222168,169.9303741455078,0.9982563853263855,70.3331069946289,102.45426177978516,0.901075005531311,41.445064544677734,100.0434799194336,0.9822152256965637,8.035566329956055,147.68508911132812,0.880721390247345,115.2990951538086,126.96134185791016,0.9808787107467651,94.00525665283203,163.2683868408203,0.986936628818512,62.47846221923828,201.4076385498047,0.812101423740387
