scorer,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1143.2718505859375,97.48738098144531,0.9995050430297852,1111.28466796875,192.4890594482422,0.9998225569725037,1153.667236328125,157.666748046875,0.9982848763465881,1179.2464599609375,160.5142364501953,0.9943494200706482,1216.9715576171875,161.7227325439453,0.9998260140419006,1254.3590087890625,163.61390686035156,0.9998400211334229,1154.596923828125,130.22354125976562,0.9965574741363525,1238.951171875,101.6955337524414,0.9993144273757935,1268.6181640625,119.02040100097656,0.8259994983673096,1138.0106201171875,186.9160614013672,0.9939549565315247,1208.6175537109375,210.61312866210938,0.993443489074707,1265.526123046875,198.88824462890625,0.9389069676399231
1,1143.2718505859375,98.97112274169922,0.9995916485786438,1111.28466796875,192.4890594482422,0.9998199343681335,1153.667236328125,157.81326293945312,0.9981484413146973,1179.2464599609375,160.5142364501953,0.9941126704216003,1216.9715576171875,161.73020935058594,0.9998018145561218,1255.18408203125,163.78619384765625,0.9998099207878113,1154.596923828125,130.22354125976562,0.9956323504447937,1239.0853271484375,101.74944305419922,0.9991135001182556,1269.0838623046875,119.02040100097656,0.8118224143981934,1138.3553466796875,186.9160614013672,0.9942247271537781,1208.6822509765625,210.61618041992188,0.9937180280685425,1265.526123046875,199.2239990234375,0.940036952495575
2,1143.2718505859375,100.21756744384766,0.999471127986908,1111.28466796875,192.4890594482422,0.9997568726539612,1153.667236328125,157.9986572265625,0.9979957342147827,1179.2464599609375,160.6294708251953,0.9947576522827148,1216.9715576171875,161.78729248046875,0.9997815489768982,1255.5772705078125,163.78619384765625,0.9997205138206482,1154.596923828125,130.22354125976562,0.9935814142227173,1239.0853271484375,101.95840454101562,0.9986225366592407,1269.1439208984375,119.02040100097656,0.7651891708374023,1138.3553466796875,187.18804931640625,0.9945462942123413,1208.6822509765625,210.99630737304688,0.9947775602340698,1265.526123046875,199.26454162597656,0.9331753253936768
3,1142.12890625,101.22223663330078,0.9995203018188477,1110.0220947265625,191.5652618408203,0.9996935129165649,1153.2044677734375,159.41439819335938,0.9981258511543274,1179.0633544921875,160.6294708251953,0.9956707954406738,1216.494140625,161.93475341796875,0.9998041987419128,1257.38427734375,163.78619384765625,0.9996739625930786,1154.407470703125,129.92843627929688,0.9896699786186218,1239.0853271484375,101.74944305419922,0.9979481101036072,1269.0838623046875,117.40547180175781,0.6922168135643005,1138.0106201171875,187.18804931640625,0.9945594668388367,1208.6175537109375,210.61618041992188,0.9942295551300049,1265.526123046875,199.26454162597656,0.9319129586219788
4,1140.695068359375,101.45292663574219,0.9994137287139893,1109.5203857421875,191.11268615722656,0.9997052550315857,1152.6129150390625,160.1805419921875,0.9982578158378601,1178.744384765625,160.6806640625,0.9958357810974121,1215.8065185546875,162.41429138183594,0.9998219609260559,1257.38427734375,163.46441650390625,0.9996854066848755,1153.3311767578125,129.92843627929688,0.9857263565063477,1238.3897705078125,101.83590698242188,0.9970092177391052,1268.6181640625,116.43351745605469,0.7719360589981079,1137.494384765625,187.1887664794922,0.994792640209198,1208.4337158203125,210.99630737304688,0.9952345490455627,1265.526123046875,199.26454162597656,0.937079668045044
5,1139.9888916015625,101.56616973876953,0.9996017813682556,1109.2489013671875,190.7630615234375,0.9997120499610901,1152.3817138671875,161.00843811035156,0.998314619064331,1178.5687255859375,160.8104248046875,0.9958855509757996,1215.64111328125,162.70266723632812,0.999812662601471,1257.38427734375,163.15782165527344,0.9997890591621399,1153.3311767578125,129.92843627929688,0.9800413250923157,1238.234130859375,101.83590698242188,0.994987964630127,1267.642822265625,114.40728759765625,0.6123171448707581,1136.837646484375,187.45684814453125,0.9926139116287231,1208.1795654296875,210.99630737304688,0.9954544305801392,1265.7296142578125,199.256591796875,0.9513384103775024
6,1139.41455078125,101.56616973876953,0.9996702671051025,1109.189208984375,190.60450744628906,0.9996626377105713,1152.282958984375,161.01425170898438,0.9985278844833374,1178.3038330078125,160.81663513183594,0.9962312579154968,1215.1070556640625,162.9869842529297,0.9998087286949158,1256.31103515625,162.92222595214844,0.9998140931129456,1153.3311767578125,130.27215576171875,0.9763290882110596,1238.0150146484375,101.83590698242188,0.9848256707191467,1262.6923828125,113.4700698852539,0.7700446248054504,1136.645751953125,187.45684814453125,0.9924658536911011,1208.17626953125,210.89736938476562,0.9945812821388245,1266.27978515625,198.80661010742188,0.9504569172859192
7,1138.328857421875,101.56616973876953,0.9996827840805054,1109.043701171875,190.4438934326172,0.9995811581611633,1152.2271728515625,161.01425170898438,0.998536229133606,1177.7926025390625,160.81663513183594,0.9955292344093323,1214.70849609375,163.01527404785156,0.9997836947441101,1255.0947265625,162.92222595214844,0.9998260140419006,1153.486083984375,130.53094482421875,0.9744398593902588,1236.9090576171875,101.83590698242188,0.9807174801826477,1251.40087890625,113.27005767822266,0.7624597549438477,1135.2518310546875,187.45684814453125,0.9918727278709412,1208.17626953125,210.89736938476562,0.9946907162666321,1266.42333984375,198.7300262451172,0.9660938382148743
8,1136.87744140625,101.61012268066406,0.9996151924133301,1109.043701171875,189.87783813476562,0.9995903372764587,1151.8863525390625,161.01425170898438,0.9988439083099365,1177.6634521484375,160.81663513183594,0.9963135123252869,1214.5413818359375,163.0169677734375,0.9998074173927307,1254.7437744140625,162.92222595214844,0.9998652935028076,1153.486083984375,130.8118438720703,0.9783514142036438,1236.6663818359375,101.90764617919922,0.9765176773071289,1250.961669921875,112.91837310791016,0.8729389309883118,1135.24072265625,187.031005859375,0.9911367893218994,1208.17626953125,210.89736938476562,0.9953243732452393,1266.453857421875,198.52691650390625,0.9644142389297485
9,1134.04248046875,101.78706359863281,0.9993942975997925,1108.614501953125,189.61050415039062,0.9997043013572693,1151.1168212890625,160.42074584960938,0.9989801049232483,1177.523193359375,160.72247314453125,0.9968971014022827,1214.486328125,163.01527404785156,0.9998494386672974,1254.3543701171875,162.92396545410156,0.9998420476913452,1153.486083984375,130.94012451171875,0.9755023121833801,1236.055908203125,101.90764617919922,0.9762576222419739,1250.8743896484375,111.73544311523438,0.8344729542732239,1135.004150390625,186.76748657226562,0.9927248954772949,1207.7957763671875,210.83370971679688,0.995729386806488,1266.453857421875,198.1270751953125,0.9752312898635864
10,1129.7791748046875,103.62568664550781,0.9991173148155212,1108.010009765625,188.7552490234375,0.9996718168258667,1150.589599609375,160.40145874023438,0.9989855885505676,1177.00634765625,160.5133514404297,0.997016429901123,1214.171142578125,162.9869842529297,0.999869704246521,1253.7314453125,163.24380493164062,0.9998430013656616,1153.21240234375,130.97425842285156,0.9739280939102173,1235.95361328125,101.90764617919922,0.9768641591072083,1250.6453857421875,111.73544311523438,0.8595762252807617,1134.9261474609375,186.39173889160156,0.9916507601737976,1207.56103515625,210.54685974121094,0.9955834746360779,1266.453857421875,198.02197265625,0.9745537638664246
11,1128.7041015625,104.44103240966797,0.9997743964195251,1106.663818359375,187.88174438476562,0.9997064471244812,1150.0159912109375,160.0177001953125,0.9989945292472839,1176.6358642578125,160.0702667236328,0.9970924854278564,1213.9176025390625,162.93295288085938,0.9998382329940796,1252.9708251953125,163.24380493164062,0.9998084902763367,1152.9647216796875,131.93841552734375,0.9669308662414551,1235.78125,101.42854309082031,0.9728232026100159,1250.6453857421875,111.73544311523438,0.8115732669830322,1134.549072265625,186.0680389404297,0.9899225831031799,1207.5400390625,210.31890869140625,0.996517539024353,1266.4097900390625,197.95071411132812,0.9690283536911011
12,1126.84521484375,104.57725524902344,0.9998540878295898,1105.1087646484375,187.07139587402344,0.9996528625488281,1148.96142578125,159.8455810546875,0.9989769458770752,1176.30224609375,159.83184814453125,0.9970647692680359,1213.6043701171875,162.50357055664062,0.9998360872268677,1252.4521484375,163.24380493164062,0.999764621257782,1152.9647216796875,132.7022247314453,0.9594598412513733,1235.6436767578125,101.42854309082031,0.9742963910102844,1250.8421630859375,112.34575653076172,0.7831010818481445,1133.986083984375,185.84254455566406,0.9882921576499939,1207.5040283203125,210.314697265625,0.9959232807159424,1266.3353271484375,197.78378295898438,0.9687605500221252
13,1124.8741455078125,105.56558990478516,0.999862790107727,1101.8797607421875,185.98727416992188,0.9992019534111023,1148.30615234375,159.8039093017578,0.9989680051803589,1176.016845703125,159.48240661621094,0.9971932768821716,1213.36328125,161.93948364257812,0.9998257756233215,1251.776611328125,162.63995361328125,0.9996852874755859,1152.672607421875,133.2875518798828,0.9430860280990601,1235.3782958984375,101.42854309082031,0.9714910984039307,1250.8421630859375,112.51696014404297,0.8353303670883179,1133.258544921875,184.15684509277344,0.9877730011940002,1207.3272705078125,210.18484497070312,0.996810257434845,1266.335205078125,197.5673370361328,0.9667402505874634
14,1121.967529296875,106.67760467529297,0.9998010993003845,1097.406005859375,184.78836059570312,0.99928218126297,1147.6290283203125,159.23995971679688,0.9988270401954651,1175.840087890625,159.18553161621094,0.9972994923591614,1213.36328125,161.43759155273438,0.9997690320014954,1248.095458984375,160.5556182861328,0.9996262788772583,1152.6455078125,134.06698608398438,0.9291961193084717,1235.3486328125,101.66027069091797,0.9699028134346008,1250.8514404296875,112.51696014404297,0.8399360179901123,1133.258544921875,183.91900634765625,0.9888620972633362,1206.8978271484375,210.02935791015625,0.9971931576728821,1266.0579833984375,197.39036560058594,0.9549945592880249
