scorer,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000,DLC_resnet101_30dFeb16shuffle1_30000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,984.527587890625,35.97003173828125,0.9890208840370178,984.0798950195312,112.81242370605469,0.9981241822242737,1004.8924560546875,75.01272583007812,0.9920699000358582,1022.2571411132812,76.98285675048828,0.9877291917800903,1049.3148193359375,82.6463394165039,0.9986239671707153,1076.623779296875,89.17593383789062,0.9984627962112427,1011.4656372070312,53.981292724609375,0.8998873829841614,1045.822998046875,41.83378982543945,0.9934943318367004,1093.8365478515625,63.0645866394043,0.9824780821800232,1002.7382202148438,95.23261260986328,0.9300196766853333,1059.0135498046875,118.09555053710938,0.9494123458862305,1069.858642578125,112.90705871582031,0.9965354204177856
1,984.527587890625,36.915889739990234,0.9920726418495178,985.0672607421875,113.74187469482422,0.9975237250328064,1004.8924560546875,75.3277587890625,0.9874929189682007,1022.263671875,76.99764251708984,0.9827526807785034,1049.3148193359375,82.69202423095703,0.9984540939331055,1076.623779296875,89.17593383789062,0.9983766078948975,1011.4656372070312,53.98971939086914,0.8908702731132507,1045.822998046875,41.83378982543945,0.9927120208740234,1096.661376953125,63.3422737121582,0.9809176921844482,1003.2037963867188,95.23261260986328,0.9130843281745911,1059.0135498046875,118.09555053710938,0.9301849603652954,1069.858642578125,112.92852783203125,0.9964641332626343
2,984.527587890625,37.59450912475586,0.9928661584854126,986.309326171875,114.89517974853516,0.9957411289215088,1004.8924560546875,76.78913879394531,0.9884802103042603,1022.263671875,77.14498901367188,0.9765526652336121,1049.3148193359375,82.69202423095703,0.9980846643447876,1076.623779296875,89.17593383789062,0.9980310797691345,1011.4656372070312,54.17150115966797,0.871751070022583,1045.822998046875,41.83378982543945,0.9936810731887817,1097.0126953125,63.580039978027344,0.9821111559867859,1003.7083129882812,95.23261260986328,0.9108821749687195,1059.0135498046875,118.09555053710938,0.9117709398269653,1069.858642578125,112.92852783203125,0.9962645173072815
3,983.3087768554688,38.700172424316406,0.9925178289413452,986.5396728515625,114.97502899169922,0.9948837161064148,1004.541748046875,76.78913879394531,0.9892640709877014,1022.2571411132812,77.18113708496094,0.9744358062744141,1049.1124267578125,82.69202423095703,0.9981635212898254,1076.00830078125,89.03816986083984,0.9981811046600342,1010.1734619140625,55.337562561035156,0.7999547719955444,1044.976318359375,41.73153305053711,0.9959918856620789,1097.0126953125,63.580039978027344,0.9838240146636963,1004.02197265625,95.07032012939453,0.8678003549575806,1058.5330810546875,117.61642456054688,0.9050624966621399,1069.4866943359375,112.92852783203125,0.9961369633674622
4,981.4487915039062,40.33182907104492,0.9911307096481323,986.6021728515625,117.4137191772461,0.9951233267784119,1004.2349243164062,76.78913879394531,0.9889659285545349,1021.8585815429688,77.235107421875,0.9691480398178101,1048.5428466796875,82.77859497070312,0.9976961016654968,1075.47705078125,89.01358795166016,0.9979062080383301,1009.83984375,55.37994384765625,0.7874408960342407,1044.5804443359375,41.73153305053711,0.9961968660354614,1097.0126953125,63.62588882446289,0.9807621836662292,1004.02197265625,95.07032012939453,0.8719107508659363,1058.33349609375,117.5202865600586,0.9156216382980347,1068.786865234375,112.92852783203125,0.9964420199394226
5,980.4575805664062,42.49761962890625,0.9906578063964844,988.013671875,117.4137191772461,0.9951372742652893,1004.1162109375,75.7936019897461,0.9889376163482666,1020.618408203125,77.43537139892578,0.9657101035118103,1048.4974365234375,83.07850646972656,0.9975831508636475,1075.10107421875,89.01358795166016,0.9977766871452332,1007.9888305664062,55.910125732421875,0.7232697606086731,1044.5574951171875,41.73153305053711,0.9959747195243835,1096.609375,63.812232971191406,0.9785463213920593,1003.7083129882812,95.07032012939453,0.8690931797027588,1058.304931640625,117.5202865600586,0.9105443954467773,1068.6539306640625,112.92852783203125,0.9966886639595032
6,979.1821899414062,43.45943832397461,0.9900289177894592,989.26416015625,117.4288558959961,0.9940702319145203,1003.605712890625,75.7936019897461,0.9893458485603333,1020.3768920898438,77.47660827636719,0.9666929841041565,1048.4974365234375,83.3387451171875,0.997286319732666,1074.7509765625,89.01358795166016,0.9974293112754822,997.4563598632812,56.66999816894531,0.6742241978645325,1044.430419921875,41.84806823730469,0.9963603615760803,1095.5509033203125,63.71912384033203,0.9827873706817627,1003.3751220703125,96.26199340820312,0.8466522693634033,1058.1573486328125,117.47758483886719,0.880419135093689,1068.6273193359375,112.73452758789062,0.9967653751373291
7,978.6831665039062,43.72221374511719,0.9886603355407715,992.4102172851562,117.4288558959961,0.9951800107955933,1003.2129516601562,75.7936019897461,0.9884899258613586,1020.2886352539062,77.53836822509766,0.96955406665802,1048.5428466796875,83.41191101074219,0.9971832633018494,1074.4742431640625,89.02494812011719,0.9974266886711121,997.3346557617188,56.99826431274414,0.7266082167625427,1044.200439453125,41.87099838256836,0.9965502023696899,1095.463134765625,63.87715530395508,0.9835224151611328,1003.3751220703125,96.3447036743164,0.8490495681762695,1057.8941650390625,117.5202865600586,0.8767946362495422,1068.0626220703125,112.88662719726562,0.9970121383666992
8,977.9866333007812,43.86558151245117,0.9886196851730347,993.4920043945312,117.60372924804688,0.9951798915863037,1002.8949584960938,75.84919738769531,0.9890355467796326,1020.2433471679688,77.60887908935547,0.9725152254104614,1050.71484375,83.95951843261719,0.9975354671478271,1074.437255859375,89.28347778320312,0.9974790215492249,996.56884765625,56.99826431274414,0.737379789352417,1044.1463623046875,41.8917350769043,0.9967844486236572,1095.3182373046875,63.89609146118164,0.9835959672927856,1003.3751220703125,96.42035675048828,0.8581064343452454,1057.82958984375,117.5202865600586,0.8790475130081177,1067.7220458984375,112.88662719726562,0.9968727231025696
9,976.9985961914062,44.026771545410156,0.9837368130683899,994.40625,117.82930755615234,0.9955466985702515,1002.5277709960938,76.02680206298828,0.9884317517280579,1020.0953369140625,77.8465805053711,0.9726134538650513,1050.71484375,84.09215545654297,0.997718095779419,1074.1129150390625,89.49930572509766,0.9973728656768799,996.1708984375,58.03239440917969,0.7528656721115112,1043.9443359375,42.192562103271484,0.9970133304595947,1095.3182373046875,64.3694839477539,0.9856719970703125,1003.421142578125,96.6355972290039,0.8626804351806641,1057.73291015625,117.48988342285156,0.8750890493392944,1067.69873046875,112.73452758789062,0.997051477432251
10,975.7822875976562,45.14546585083008,0.9777894020080566,994.4981689453125,119.21797943115234,0.9937710165977478,1002.0582275390625,76.23290252685547,0.9874657988548279,1020.0747680664062,78.00272369384766,0.9728023409843445,1050.71484375,84.12371063232422,0.9978121519088745,1074.0191650390625,89.54666137695312,0.9974798560142517,994.9712524414062,58.25455856323242,0.7775578498840332,1043.835693359375,42.40330505371094,0.9969680905342102,1095.169677734375,64.43272399902344,0.9842203855514526,1003.908935546875,96.6355972290039,0.8558401465415955,1057.73291015625,117.48988342285156,0.856816828250885,1067.486083984375,112.73452758789062,0.9971283078193665
11,975.3927612304688,46.7126350402832,0.9734597206115723,994.5252685546875,121.22870635986328,0.9939202070236206,1001.645751953125,76.50936126708984,0.98753821849823,1019.8803100585938,78.11804962158203,0.9732262492179871,1050.526123046875,84.12934875488281,0.9979979395866394,1073.9591064453125,89.5728988647461,0.9972403049468994,994.6527099609375,58.25455856323242,0.8133319616317749,1043.8284912109375,42.710811614990234,0.9969907999038696,1095.111328125,64.43272399902344,0.9872323274612427,1003.908935546875,96.65870666503906,0.8539003133773804,1057.39990234375,117.6963882446289,0.8531832098960876,1067.327880859375,112.88662719726562,0.9970226883888245
12,975.302978515625,47.85478973388672,0.9810225367546082,994.70751953125,122.02772521972656,0.9928182363510132,1000.7908325195312,76.84839630126953,0.9875604510307312,1019.3858032226562,78.60858917236328,0.9752114415168762,1050.2161865234375,84.33377838134766,0.9980608820915222,1073.71728515625,89.5728988647461,0.9968967437744141,994.3333129882812,58.25455856323242,0.8659267425537109,1043.7657470703125,42.78582763671875,0.9969949722290039,1094.986083984375,64.3694839477539,0.9879986047744751,1003.908935546875,97.08573913574219,0.8524048328399658,1057.39990234375,117.58757781982422,0.8092606067657471,1067.327880859375,112.86863708496094,0.9972885847091675
13,972.9779052734375,49.540748596191406,0.9871161580085754,994.5252685546875,122.4865493774414,0.9924221634864807,999.7814331054688,77.20050048828125,0.9892370104789734,1018.95068359375,79.09835052490234,0.9801341891288757,1049.499267578125,84.33377838134766,0.9981901049613953,1073.0916748046875,89.5728988647461,0.996664822101593,994.0077514648438,57.47136306762695,0.9319714307785034,1043.3555908203125,42.86526107788086,0.9972551465034485,1092.713623046875,63.28852081298828,0.9873340129852295,1004.040283203125,97.08573913574219,0.8521592617034912,1057.39990234375,117.58757781982422,0.7895723581314087,1067.327880859375,112.86863708496094,0.9971453547477722
14,971.0076293945312,51.026126861572266,0.9878223538398743,994.4981689453125,122.9021987915039,0.9924564361572266,999.3811645507812,77.53314208984375,0.9918928146362305,1018.3046875,79.51162719726562,0.9810097217559814,1048.3792724609375,84.33377838134766,0.9981293082237244,1071.7469482421875,89.3158950805664,0.9947872161865234,993.9088134765625,57.47136306762695,0.9590114951133728,1043.3555908203125,42.94242858886719,0.9972435235977173,1078.595458984375,63.15768051147461,0.9836137294769287,1004.0715942382812,97.08573913574219,0.8554685115814209,1057.3353271484375,117.58757781982422,0.7521781921386719,1066.7257080078125,112.86863708496094,0.9970449805259705
