scorer,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,891.9891967773438,84.79517364501953,0.9630575776100159,919.0733642578125,161.62734985351562,0.9973160624504089,935.5857543945312,108.10917663574219,0.9995635151863098,959.9559936523438,106.827880859375,0.9982337951660156,997.4081420898438,103.077880859375,0.999868631362915,1032.8753662109375,98.95845794677734,0.9996836185455322,933.5835571289062,76.88358306884766,0.9797852635383606,998.6788330078125,47.04460525512695,0.9969569444656372,1016.4906005859375,53.049129486083984,0.9979121088981628,959.81640625,125.94140625,0.9341134428977966,962.2609252929688,153.02410888671875,0.9958926439285278,1033.05712890625,138.86509704589844,0.5786771178245544
1,891.9891967773438,85.03126525878906,0.9682756662368774,919.0733642578125,161.77743530273438,0.9974278807640076,935.5857543945312,108.47079467773438,0.9995691180229187,959.9559936523438,107.049072265625,0.9982873797416687,997.4081420898438,103.08973693847656,0.9998770952224731,1033.5235595703125,99.47661590576172,0.9997221827507019,933.5835571289062,77.03228759765625,0.9812807440757751,998.6788330078125,47.12932205200195,0.9969165325164795,1017.6256103515625,53.049129486083984,0.9980127811431885,959.81640625,125.94140625,0.9176223278045654,962.33642578125,153.05142211914062,0.9954930543899536,1033.05712890625,140.51927185058594,0.4961821436882019
2,891.9891967773438,86.09619140625,0.9628147482872009,919.5244750976562,162.01902770996094,0.9973133206367493,935.5857543945312,109.07088470458984,0.9995812773704529,959.9559936523438,107.049072265625,0.9983044862747192,997.4081420898438,103.16426086425781,0.9998629093170166,1033.5235595703125,99.47661590576172,0.9997742772102356,933.5835571289062,77.2077865600586,0.9838230013847351,998.6788330078125,48.51742935180664,0.9965864419937134,1017.6588134765625,53.049129486083984,0.998075008392334,959.81640625,126.43806457519531,0.8813368082046509,962.4624633789062,153.1812744140625,0.9963502883911133,1033.05712890625,140.51927185058594,0.5868346691131592
3,891.2021484375,86.80956268310547,0.9597911238670349,919.5244750976562,162.01902770996094,0.997779905796051,935.2623291015625,109.89195251464844,0.9995918869972229,959.8386840820312,107.049072265625,0.9985480904579163,997.1705322265625,103.45028686523438,0.9998792409896851,1033.5235595703125,99.47661590576172,0.9997994303703308,933.5835571289062,77.52630615234375,0.9819394946098328,989.909423828125,48.51742935180664,0.9963666200637817,1017.7020874023438,53.02726364135742,0.9972871541976929,954.8392944335938,126.93424987792969,0.8963571786880493,962.5606079101562,153.48773193359375,0.9970734119415283,1033.05712890625,140.50221252441406,0.530616283416748
4,890.695068359375,88.07907104492188,0.9202070236206055,919.3572387695312,162.01902770996094,0.998322069644928,934.9117431640625,110.72378540039062,0.9996887445449829,959.6651611328125,107.049072265625,0.9985067248344421,996.82373046875,103.55754852294922,0.9998675584793091,1033.1617431640625,99.47367095947266,0.9998518228530884,933.5835571289062,77.97016906738281,0.9752113223075867,979.4225463867188,49.09760284423828,0.9969632029533386,1017.8050537109375,53.02726364135742,0.9977442026138306,953.41259765625,127.5906753540039,0.9486449360847473,962.5606079101562,153.48773193359375,0.9974404573440552,1033.05712890625,140.50221252441406,0.5963675379753113
5,890.4501342773438,90.32073974609375,0.9391404390335083,919.3572387695312,162.15069580078125,0.998675525188446,933.8822631835938,111.64106750488281,0.9997486472129822,958.635498046875,107.521484375,0.9983957409858704,996.2086181640625,103.55754852294922,0.9998264908790588,1032.429443359375,99.47367095947266,0.9998537302017212,935.1557006835938,77.97016906738281,0.9843658208847046,971.2000122070312,49.77947235107422,0.9972807168960571,1017.8458862304688,53.02726364135742,0.997958779335022,947.6683959960938,128.26092529296875,0.9266414642333984,962.953369140625,153.48773193359375,0.9980792999267578,1032.9615478515625,140.31192016601562,0.5014302730560303
6,889.4735107421875,90.78800201416016,0.9436665773391724,919.3572387695312,162.1509246826172,0.9989416003227234,933.2877807617188,112.09048461914062,0.9997667670249939,957.551025390625,108.26069641113281,0.9985881447792053,995.9036865234375,103.55754852294922,0.9998218417167664,1031.592529296875,99.47367095947266,0.999883770942688,935.507568359375,78.32186126708984,0.9911913275718689,962.9667358398438,50.90399169921875,0.9995681643486023,1017.9688110351562,53.773780822753906,0.9982738494873047,938.3703002929688,129.0643768310547,0.8816510438919067,962.9675903320312,153.55752563476562,0.9986106157302856,1032.941650390625,139.77561950683594,0.5629256963729858
7,887.306640625,91.32471466064453,0.96665358543396,918.4226684570312,161.89024353027344,0.9992875456809998,932.75146484375,112.28482818603516,0.99972003698349,956.9572143554688,108.79176330566406,0.9983958601951599,995.7762451171875,103.77486419677734,0.9998034834861755,1030.800048828125,99.5197982788086,0.9999058246612549,935.7620239257812,78.32186126708984,0.9899305105209351,959.5991821289062,53.013851165771484,0.9995529055595398,1017.9688110351562,54.048805236816406,0.9982635378837585,935.9240112304688,130.02879333496094,0.9287707209587097,963.04931640625,153.55752563476562,0.9989197254180908,1032.941650390625,139.6487579345703,0.6233760118484497
8,887.22998046875,91.65336608886719,0.9719964265823364,917.2925415039062,161.88912963867188,0.9993649125099182,932.184326171875,112.91545104980469,0.9996528625488281,955.8549194335938,109.13015747070312,0.9983808994293213,994.8995361328125,103.77486419677734,0.9998031258583069,1029.7657470703125,99.5197982788086,0.9999130964279175,936.7081909179688,77.97016906738281,0.9848706126213074,954.0386352539062,54.80389404296875,0.9993475079536438,1017.8050537109375,54.412479400634766,0.9978502988815308,932.9822387695312,131.33802795410156,0.96893310546875,963.252197265625,153.7985076904297,0.9990702271461487,1032.840087890625,139.6487579345703,0.5751367211341858
9,886.791748046875,91.65336608886719,0.9687731862068176,914.0679321289062,161.88784790039062,0.9986868500709534,931.7930908203125,112.96237182617188,0.9995600581169128,955.344970703125,109.61023712158203,0.998116135597229,994.2420654296875,104.06745910644531,0.9997832179069519,1029.1680908203125,99.5197982788086,0.9999144077301025,937.3406372070312,77.72566986083984,0.9761032462120056,951.0230712890625,57.37135314941406,0.9996871948242188,1017.5341796875,54.51476287841797,0.9977098703384399,931.0711059570312,133.14495849609375,0.9618018865585327,963.252197265625,153.937744140625,0.9990436434745789,1032.7498779296875,139.55380249023438,0.6579945683479309
10,886.489501953125,92.79521179199219,0.9692291021347046,908.3321533203125,161.88784790039062,0.9983550906181335,931.0360717773438,113.37010955810547,0.9993616938591003,954.6383666992188,112.1034927368164,0.9983199238777161,992.8832397460938,104.19257354736328,0.9997633099555969,1028.1217041015625,99.45193481445312,0.9999139308929443,937.2024536132812,72.73043823242188,0.9714282155036926,946.8472900390625,60.042030334472656,0.9995274543762207,1017.176025390625,54.57846450805664,0.997554361820221,923.9583740234375,134.0031280517578,0.9288179278373718,963.252197265625,154.07534790039062,0.9993025064468384,1032.5855712890625,139.4562530517578,0.6475701332092285
11,886.0811767578125,93.33952331542969,0.9753981828689575,908.3321533203125,161.88784790039062,0.9988682270050049,930.2391967773438,114.58515167236328,0.9991375207901001,954.2577514648438,112.21074676513672,0.9982935786247253,992.0012817382812,104.19257354736328,0.9997534155845642,1027.3443603515625,99.43952941894531,0.9998762607574463,937.2024536132812,72.58749389648438,0.950894832611084,943.7686157226562,62.84226608276367,0.9988810420036316,1016.953857421875,54.57846450805664,0.9975728392601013,922.476318359375,134.66531372070312,0.9453055262565613,963.21142578125,154.576171875,0.9995694756507874,1032.38427734375,139.44798278808594,0.6488423943519592
12,885.4430541992188,94.52303314208984,0.9831171035766602,908.0313720703125,162.7293701171875,0.9985243678092957,930.0675659179688,114.83526611328125,0.9991264939308167,953.6107177734375,112.21749877929688,0.9979183077812195,991.1292724609375,104.19257354736328,0.9997401833534241,1026.3477783203125,99.37031555175781,0.999836802482605,937.2024536132812,72.22105407714844,0.9277603626251221,940.5333251953125,62.84226608276367,0.9982982277870178,1016.3717651367188,54.57846450805664,0.9976717829704285,919.2039184570312,135.1082305908203,0.9516497850418091,962.9798583984375,154.92086791992188,0.9996607303619385,1032.38427734375,139.4562530517578,0.6839380860328674
13,884.6355590820312,95.76041412353516,0.9864826202392578,907.92138671875,162.7293701171875,0.9987173080444336,929.5908203125,115.37627410888672,0.9990609288215637,952.951416015625,112.21749877929688,0.9979673027992249,990.719482421875,103.98606872558594,0.9997194409370422,1023.0155029296875,98.17791748046875,0.9998414516448975,935.17236328125,68.7813491821289,0.9333133101463318,939.8145751953125,62.84226608276367,0.997240424156189,1016.3115234375,54.576290130615234,0.9975183010101318,919.2039184570312,136.18719482421875,0.962976336479187,962.8998413085938,155.07594299316406,0.9997348189353943,1032.3778076171875,139.55380249023438,0.6272034645080566
14,883.9612426757812,96.79530334472656,0.9813098907470703,907.92138671875,162.7293701171875,0.9990575909614563,928.915771484375,115.61798095703125,0.9989608526229858,952.6087646484375,112.32144165039062,0.9982267022132874,990.1375122070312,103.95689392089844,0.9997214674949646,1022.4716186523438,98.06202697753906,0.9998538494110107,934.8889770507812,67.78289031982422,0.9180659055709839,939.7816162109375,62.16942596435547,0.9962357878684998,1016.3097534179688,54.576290130615234,0.9974986910820007,919.2039184570312,136.3982391357422,0.9470646381378174,962.6931762695312,155.54403686523438,0.999733030796051,1032.3778076171875,139.5622100830078,0.6191413998603821
