scorer,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000,DLC_resnet101_0degreeFeb13shuffle1_50000
bodyparts,antena1,antena1,antena1,antena2,antena2,antena2,forhead,forhead,forhead,neck,neck,neck,thorax,thorax,thorax,abdomen,abdomen,abdomen,l1,l1,l1,l2,l2,l2,l3,l3,l3,r1,r1,r1,r2,r2,r2,r3,r3,r3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,120.90348052978516,109.07653045654297,0.9992806315422058,95.95854949951172,176.63818359375,0.9985668063163757,89.37997436523438,142.22702026367188,0.9991679191589355,69.84827423095703,135.9386444091797,0.9995179176330566,33.96152877807617,131.80618286132812,0.9998094439506531,6.823030948638916,127.51016998291016,0.9996904134750366,82.48534393310547,115.42984771728516,0.8807198405265808,81.48008728027344,88.84867095947266,0.9980370402336121,15.512941360473633,86.38054656982422,0.295009583234787,94.17576599121094,169.15386962890625,0.9982611536979675,46.69490051269531,166.5926055908203,0.9901841282844543,1.360030174255371,96.75960540771484,0.21336524188518524
1,123.0174560546875,110.70427703857422,0.9987541437149048,96.69007110595703,176.63818359375,0.999332845211029,91.12200164794922,142.436279296875,0.9982478618621826,71.66413116455078,136.67156982421875,0.9996678829193115,35.351356506347656,131.8561248779297,0.999823272228241,7.673780918121338,127.58015441894531,0.9998106360435486,82.58192443847656,115.59263610839844,0.9644852876663208,86.2554931640625,89.88825225830078,0.9989161491394043,15.512941360473633,86.64286804199219,0.34819066524505615,96.82438659667969,169.15386962890625,0.9987221360206604,46.7231330871582,166.5926055908203,0.9914325475692749,10.159771919250488,158.08004760742188,0.20130577683448792
2,126.5823974609375,111.414794921875,0.9991777539253235,99.4103012084961,176.63818359375,0.9997050166130066,92.91462707519531,142.7890625,0.9985853433609009,73.9197006225586,136.7875518798828,0.999691367149353,36.71428680419922,132.41595458984375,0.9998144507408142,9.371715545654297,128.50657653808594,0.9998973608016968,82.61210632324219,115.76142883300781,0.9765220880508423,89.06688690185547,90.05259704589844,0.9989933371543884,15.512941360473633,87.19691467285156,0.39155688881874084,101.1437759399414,169.15386962890625,0.9984531402587891,46.7275390625,166.5926055908203,0.9895451664924622,12.322494506835938,160.8602752685547,0.5464919805526733
3,128.5609893798828,113.30535888671875,0.999203622341156,101.22551727294922,176.63818359375,0.9997068047523499,94.02378845214844,142.9482421875,0.9986498951911926,75.07209777832031,137.1310577392578,0.9995835423469543,37.86978530883789,132.41595458984375,0.9997891783714294,10.403311729431152,129.6913299560547,0.9999208450317383,82.61210632324219,115.76142883300781,0.9766184091567993,89.64680480957031,90.05259704589844,0.9990072846412659,15.512941360473633,160.5731658935547,0.5415904521942139,105.31727600097656,167.939697265625,0.9990026354789734,46.7275390625,165.1784210205078,0.98236483335495,12.870585441589355,162.6553955078125,0.5749431848526001
4,131.19248962402344,115.19757843017578,0.9995145797729492,101.22551727294922,176.56234741210938,0.9996875524520874,95.3962173461914,142.98497009277344,0.9991918206214905,75.09870910644531,137.13230895996094,0.9993684887886047,39.52383041381836,132.57029724121094,0.9996616840362549,11.569847106933594,129.71359252929688,0.9999129772186279,83.81896209716797,115.76142883300781,0.9692894816398621,90.59567260742188,90.14595794677734,0.99908447265625,15.512941360473633,161.23500061035156,0.5627790093421936,106.10721588134766,167.7023468017578,0.99860018491745,46.69490051269531,165.07028198242188,0.945221483707428,16.26358413696289,163.3253936767578,0.5614655613899231
5,136.3285369873047,117.18515014648438,0.9992094039916992,101.22551727294922,176.56234741210938,0.9996076226234436,96.60543823242188,143.72401428222656,0.999293327331543,76.8978042602539,137.4788818359375,0.9993301630020142,41.22206497192383,132.63230895996094,0.9992852807044983,13.314834594726562,129.7442626953125,0.9998310804367065,84.2589340209961,117.00299072265625,0.9651053547859192,90.73548126220703,90.14595794677734,0.9991647005081177,16.067800521850586,161.23500061035156,0.7642825841903687,106.25651550292969,167.7023468017578,0.998439610004425,46.1873893737793,164.7899627685547,0.9236871600151062,16.353397369384766,163.3253936767578,0.5263117551803589
6,136.62875366210938,118.54023742675781,0.9987391829490662,101.01445770263672,176.5421600341797,0.999249279499054,97.2217788696289,144.2340087890625,0.9991579055786133,78.26481628417969,137.63223266601562,0.9993056058883667,42.874114990234375,132.57029724121094,0.9994149208068848,13.960752487182617,130.61874389648438,0.9998040795326233,84.3176040649414,117.64967346191406,0.9565061926841736,91.00526428222656,90.14195251464844,0.9989873766899109,16.84832000732422,161.14892578125,0.809075653553009,106.55225372314453,167.82028198242188,0.997581958770752,45.647525787353516,164.4278564453125,0.940604567527771,16.86287498474121,163.07835388183594,0.7213714718818665
7,138.59983825683594,119.85115814208984,0.9975378513336182,101.01445770263672,176.5421600341797,0.9991500377655029,98.51995849609375,144.7834014892578,0.9991722106933594,79.539794921875,137.63223266601562,0.9991427659988403,44.709049224853516,132.38917541503906,0.9994567036628723,16.098384857177734,130.61874389648438,0.9998615980148315,84.34357452392578,118.39868927001953,0.9450464844703674,91.0741195678711,90.04071807861328,0.9989770650863647,17.378129959106445,161.2134552001953,0.8288336396217346,106.55225372314453,167.82028198242188,0.9958034157752991,45.647525787353516,164.393798828125,0.9479326605796814,16.86287498474121,163.05599975585938,0.8406919836997986
8,139.0851287841797,120.47550201416016,0.9967727065086365,101.01445770263672,176.39576721191406,0.999285876750946,99.19706726074219,144.81338500976562,0.999373733997345,80.48981475830078,137.63223266601562,0.9991112351417542,46.3272590637207,132.32522583007812,0.9994877576828003,17.44019889831543,130.61874389648438,0.9998610019683838,84.34357452392578,119.4351806640625,0.9122529029846191,91.07662963867188,89.91714477539062,0.9988149404525757,17.431407928466797,161.14892578125,0.8111141324043274,106.69237518310547,167.70419311523438,0.9951213002204895,45.647525787353516,164.27090454101562,0.9419812560081482,16.959367752075195,163.07835388183594,0.8857330679893494
9,139.5854949951172,120.47550201416016,0.9960553646087646,101.52127838134766,176.5421600341797,0.9990290403366089,100.3229751586914,144.8326873779297,0.9994519352912903,81.97506713867188,137.2992706298828,0.9993839263916016,47.91515350341797,132.2882080078125,0.9997026324272156,18.840003967285156,130.1446075439453,0.9998643398284912,85.2149429321289,119.77883911132812,0.9225630760192871,91.11180114746094,89.75032043457031,0.9986816048622131,18.227760314941406,161.14892578125,0.8447018265724182,106.75581359863281,167.70419311523438,0.9966465830802917,45.94444274902344,163.71018981933594,0.9561548829078674,17.438091278076172,163.07835388183594,0.937267005443573
10,139.89540100097656,120.47550201416016,0.9960185885429382,102.94114685058594,176.5421600341797,0.9986483454704285,101.87421417236328,144.81338500976562,0.9994650483131409,83.54940795898438,137.28501892089844,0.9996065497398376,49.157588958740234,132.28089904785156,0.9998421669006348,20.704418182373047,130.13780212402344,0.9998466968536377,86.00948333740234,120.05778503417969,0.8998427987098694,91.51154327392578,89.20637512207031,0.9984450936317444,18.227760314941406,161.14797973632812,0.8512048721313477,106.97587585449219,167.70419311523438,0.997473418712616,46.91756820678711,163.56787109375,0.9685759544372559,18.261253356933594,163.05599975585938,0.9589507579803467
11,141.94805908203125,120.47550201416016,0.9959582686424255,105.49845886230469,176.68299865722656,0.9982882142066956,103.2105941772461,144.7834014892578,0.999422550201416,85.44258117675781,137.1851348876953,0.9997237324714661,50.554473876953125,132.28089904785156,0.9998741149902344,22.59345817565918,130.0645294189453,0.9997568726539612,86.78144073486328,120.34784698486328,0.9017732739448547,92.19119262695312,89.20637512207031,0.9985380172729492,18.227760314941406,161.14797973632812,0.8528957366943359,106.97587585449219,167.70419311523438,0.9983811378479004,47.39777374267578,163.56787109375,0.9699394702911377,18.7667179107666,163.05599975585938,0.9708064198493958
12,143.57028198242188,120.47550201416016,0.9952634572982788,106.42710876464844,176.78353881835938,0.9986544847488403,104.09615325927734,144.64028930664062,0.9992891550064087,86.46186828613281,137.1851348876953,0.9997259974479675,51.51844787597656,131.92909240722656,0.9998445510864258,23.331390380859375,127.40837860107422,0.9998062252998352,86.83544921875,120.9248275756836,0.9106085300445557,92.19119262695312,89.20637512207031,0.9985948204994202,16.074405670166016,86.69034576416016,0.8124780058860779,106.97587585449219,168.0235595703125,0.9987640380859375,47.962093353271484,162.87696838378906,0.9694797992706299,19.023530960083008,163.04994201660156,0.9783377051353455
13,145.38922119140625,121.1250228881836,0.9951457381248474,106.42710876464844,177.23004150390625,0.9988821148872375,104.67240905761719,144.64028930664062,0.9992247819900513,87.24634552001953,137.270751953125,0.9997091889381409,52.543678283691406,131.87840270996094,0.9998070597648621,24.265186309814453,127.3055419921875,0.99982088804245,87.31270599365234,121.35012817382812,0.8929979205131531,92.32731628417969,89.20637512207031,0.9985149502754211,16.00811004638672,86.57479095458984,0.8399624228477478,107.89156341552734,168.03555297851562,0.9981881976127625,48.689483642578125,162.62777709960938,0.9704452157020569,19.139759063720703,162.5850830078125,0.9821993112564087
14,145.94387817382812,122.00627899169922,0.9955998659133911,106.42710876464844,177.3216552734375,0.9988970756530762,105.03207397460938,144.64028930664062,0.9990339279174805,87.97817993164062,137.270751953125,0.9997065663337708,53.099571228027344,131.8545379638672,0.9998069405555725,25.203506469726562,127.30037689208984,0.9998563528060913,126.94229125976562,128.2345428466797,0.8886227011680603,92.5270004272461,89.37903594970703,0.9985016584396362,15.869867324829102,86.53150177001953,0.8699476718902588,107.89484405517578,168.26724243164062,0.9970077872276306,49.260562896728516,162.60023498535156,0.9711223244667053,19.31351089477539,162.3199920654297,0.9845423698425293
